,len_01_norm_unicode,len_01_norm_unicode,len_02_dehyphen,len_02_dehyphen,len_03_strip_summary,len_03_strip_summary,len_04_smart_join,len_04_smart_join,len_05_cut_from_od,len_05_cut_from_od,len_06_norm_orden_dia,len_06_norm_orden_dia,len_07_strip_roster_stage,len_07_strip_roster_stage,len_08_strip_procedural,len_08_strip_procedural,len_09_postfix,len_09_postfix,len_10_after_legal_cut,len_10_after_legal_cut,len_11_final,len_11_final,n_legal_blocks,n_legal_blocks,ratio_after_legal,ratio_after_legal,ratio_after_procedural,ratio_after_procedural,ratio_after_summary,ratio_after_summary
run_label,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev
file_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47_2013-04-09_crr.txt,165526,165526,165526,165526,161383,161383,161327,161327,161327,161327,161327,161327,7329,7329,7307,7307,7212,7212,7212,7212,7213,7213,0,0,1.0,1.0,0.9969982262245872,0.9969982262245872,0.9749706994671532,0.9749706994671532
47_2013-04-10_crr.txt,214090,214090,214087,214087,214087,214087,214038,214038,214038,214038,214038,214038,210400,210400,209939,209939,207609,207609,198318,198318,198318,198318,4,4,0.9552476048726212,0.9552476048726212,0.9978089353612168,0.9978089353612168,0.9999859872016442,0.9999859872016442
47_2013-04-16_crr.txt,229893,229893,229893,229893,227797,227797,227771,227771,155558,155558,155558,155558,154752,154752,154192,154192,150832,150832,97502,97502,97502,97502,5,5,0.6464278137265301,0.6464278137265301,0.9963813068651778,0.9963813068651778,0.9908827150021968,0.9908827150021968
47_2013-04-17_crr.txt,698754,698754,698754,698754,696322,696322,696211,696211,670527,670527,670527,670527,663839,663839,662491,662491,652443,652443,642503,642503,642502,642502,3,3,0.9847649526472044,0.9847649526472044,0.9979693871556206,0.9979693871556206,0.9965195190295868,0.9965195190295868
47_2013-05-07_crr.txt,67208,67208,67208,67208,67195,67208,67195,67201,67195,67201,67195,67201,67195,56360,67195,56360,67195,56360,67195,10121,67195,10121,0,7,1.0,0.1795777146912704,1.0,1.0,1.0,1.0
47_2013-05-08_crr.txt,136357,136357,136357,136357,133152,133152,133105,133105,133105,133105,133105,133105,28,28,28,28,28,28,28,28,29,29,0,0,1.0,1.0,1.0,1.0,0.9764955227821088,0.9764955227821088
47_2013-05-14_crr.txt,535504,535504,535504,535504,135690,135690,135667,135667,135667,135667,135474,135474,24270,24270,24260,24260,24216,24216,3300,3300,3300,3300,4,4,0.1362735381565906,0.1362735381565906,0.99958796868562,0.99958796868562,0.2533874630254862,0.2533874630254862
47_2013-05-15_crr.txt,183791,183791,183791,183791,179700,179700,179630,179630,178978,178978,178978,178978,177682,177682,177128,177128,170654,170654,156866,156866,156866,156866,5,5,0.9192049409917142,0.9192049409917142,0.9968820702153284,0.9968820702153284,0.9777410210510852,0.9777410210510852
47_2013-05-15_crr_3805.txt,44640,44640,44640,44640,43924,43924,43913,43913,43913,43913,43781,43781,39502,39502,39502,39502,37950,37950,34477,34477,34477,34477,1,1,0.9084848484848485,0.9084848484848485,1.0,1.0,0.9839605734767024,0.9839605734767024
47_2013-05-21_crr.txt,417166,417166,417166,417166,414095,414095,413974,413974,379481,379481,379481,379481,377647,377647,377189,377189,373810,373810,368817,368817,368817,368817,4,4,0.98664294695166,0.98664294695166,0.9987872272254248,0.9987872272254248,0.9926384221149376,0.9926384221149376
47_2013-06-04_crr.txt,605574,605574,605574,605574,337163,337163,337075,337075,320901,320901,320901,320901,5524,5524,5514,5514,5470,5470,5470,5470,5470,5470,0,0,1.0,1.0,0.998189717595945,0.998189717595945,0.5567659774032571,0.5567659774032571
47_2013-06-05_crr.txt,314877,314877,314874,314874,308963,308963,308868,308868,237535,237535,237535,237535,237183,237183,236757,236757,235512,235512,203118,203118,203118,203118,3,3,0.862452868643636,0.862452868643636,0.9982039184933152,0.9982039184933152,0.9812180629261584,0.9812180629261584
47_2013-06-05_crr_3815.txt,54107,54107,54107,54107,53552,53552,53538,53538,53538,53538,53538,53538,55,55,55,55,55,55,55,55,56,56,0,0,1.0,1.0,1.0,1.0,0.989742547175042,0.989742547175042
47_2013-06-11_crr.txt,258329,258329,258329,258329,236815,236815,236746,236746,96270,96270,96270,96270,96207,96207,96197,96197,94742,94742,90988,90988,90988,90988,1,1,0.9603766017183508,0.9603766017183508,0.9998960574594364,0.9998960574594364,0.916718603021728,0.916718603021728
47_2013-06-12_crr.txt,201364,201364,201361,201361,201361,201361,201321,201321,2255,2255,2255,2255,2203,2203,2203,2203,2161,2161,2161,2161,2160,2160,0,0,1.0,1.0,1.0,1.0,0.99998510160704,0.99998510160704
47_2013-06-18_crr.txt,324714,324714,324714,324714,323708,323708,323619,323619,110376,110376,110376,110376,109620,109620,109293,109293,108125,108125,97909,97909,97909,97909,4,4,0.9055167630057804,0.9055167630057804,0.9970169677066228,0.9970169677066228,0.9969018890469769,0.9969018890469769
47_2013-06-27_crr.txt,35362,35362,35362,35362,33966,33966,33960,33960,33960,33960,33691,33691,17731,17731,17721,17721,17648,17648,5131,5131,5131,5131,2,2,0.2907411604714415,0.2907411604714415,0.9994360160171452,0.9994360160171452,0.9605225948758556,0.9605225948758556
47_2013-07-02_crr.txt,224304,224304,224304,224304,218661,218661,218568,218568,99164,99164,99164,99164,98609,98609,98306,98306,94994,94994,65527,65527,65527,65527,6,6,0.6898014611449144,0.6898014611449144,0.9969272581610198,0.9969272581610198,0.9748421784720736,0.9748421784720736
